ID,Area,Feature,User Story,Expected Behaviour,Source,Status,Test Method,Test Result,Notes
F01,Tray UI,Tray icon on startup,"As a user, I want the app to appear as a tray icon on startup so I can reach it without a window.","On launch a tray icon is created with the app icon and tooltip 'Epic Quick Switch'. Only a genuinely ACTIVE account puts its badge+name on the tray; when nobody is logged in the default icon and neutral tooltip show, so the tray never fakes a login.","tray.rs setup()/refresh_icon()",Retested-OK,"adversarial code-verify x2; unit (46/46)","Fixed: logged-out state now visually distinct (default icon instead of last account's badge).","Manual check: log out in Epic -> tray falls back to app icon within ~3s."
F02,Tray UI,Left-click opens menu,"As a user, I want the menu on left-click so I can switch with a single click path.","show_menu_on_left_click(true): both left and right click open the tray menu.","tray.rs setup()",Verified,adversarial code-verify,match,"Manual check: left-click tray icon."
F03,Tray UI,Account list order,"As a user, I want my accounts listed with the active one first and then most recently used, so the likely target is on top.","list_accounts sorts: is_current first, then by last_used (fallback saved_at) descending.","accounts.rs list_accounts()",Verified,adversarial code-verify,match,
F04,Tray UI,Active account marker,"As a user, I want to see which account is active so I don't switch to it again.","Active account label gets suffix '• active/aktiv', entry disabled. Additionally switch_account no-ops (AlreadyActive) when the target already owns the live session AND the launcher runs — so even a stale menu can't trigger a pointless kill+relaunch; with the launcher dead it falls through and relaunches.","tray.rs build_menu(); switch.rs switch_account()",Retested-OK,"adversarial code-verify x3; unit","Fixed round 1 (id-level guard) + round 2 (guard requires running launcher, else full flow relaunches).",
F05,Tray UI,Expired (stale) marker,"As a user, I want expired sessions marked so I know a switch will fail before I try.","Accounts whose token was rejected get suffix '(expired/abgelaufen)'. Stale clears on re-save. Stale accounts refuse to switch (see F11) instead of logging the user out.","tray.rs build_menu(); store.rs",Limitation documented,"adversarial code-verify x2","Two accepted nuances: stale-mark save failure window (tiny, self-heals); 'active (expired)' can co-occur for undecryptable-but-current snapshots (both suffixes are true facts).",
F06,Tray UI,Account badges,"As a user, I want each account to have a recognizable colored badge so I can tell them apart at a glance.","Deterministic palette color + white initial. Accented Latin initials are transliterated (Ü->U, é->E, ß->S, …); unmappable scripts fall through to the account id's first mappable char; badge initial follows the displayed label (see F20).","icon.rs initial_for()/badge_rgba()",Retested-OK,"adversarial code-verify x2; unit (accented_initials_are_transliterated)","Fixed: umlaut/accent names no longer render the '?' fallback glyph.",
F07,Tray UI,Empty state,"As a new user, I want a hint when no accounts are saved so I know how to start.","With zero accounts the menu shows two disabled entries: 'No accounts saved yet' + login hint (localized).","tray.rs build_menu(); i18n.rs",Verified,adversarial code-verify,match,
F08,Save,Save current account,"As a user, I want to snapshot my current Epic login so I can switch back to it later.","Reads [RememberMe] (launcher may keep running), requires valid token, account id from registry ONLY (fail-closed), name from logs by id (fallback 'Account <first8>'), DPAPI-encrypted store, tray refresh. Saving lifts a removal tombstone (see F12).","switch.rs save_current()",Retested-OK,"adversarial code-verify x2; unit; live-smoke","Stale doc comment fixed. Remaining nuance accepted: no success toast on re-save (new-entry appearance is the feedback for first saves).",
F09,Save,Save error dialogs,"As a user, I want a clear error message when saving fails so I know how to fix it.","NoLauncherData/NoSession/NoAccountId fully localized; Store failures show a localized headline with the technical reason as a detail line.","switch.rs SaveError; tray.rs; i18n.rs",Retested-OK,"adversarial code-verify x2","Fixed: no more raw-English dialog bodies under German titles.",
F10,Save,Name upgrade rules,"As a user, I want my manually chosen name kept, but generated names upgraded automatically when a real name appears.","Custom names never overwritten; non-custom names upgraded from logs; re-save refreshes token and clears stale.","store.rs upsert_session()",Limitation documented,"adversarial code-verify x2; unit","Logic correct; known gap: no in-app rename UI (custom names require editing accounts.json). Feature request, not an error — a tray-only app needs a window/input dialog for it.",
